key,value
total:fit,135
brand:fit,135
brand_comment:fit,119
total:ford,99
total:mini,99
brand:ford,99
brand:mini,99
total:honda,98
brand:honda,98
brand_comment:ford,91
brand_comment:mini,90
total:toyota,90
brand:toyota,90
total:bmw,86
brand:bmw,86
brand_comment:honda,83
brand_comment:toyota,83
total:mazda,81
brand:mazda,81
brand_comment:bmw,80
brand_comment:mazda,73
total:tesla,69
brand:tesla,69
brand_comment:tesla,65
total:kia,61
brand:kia,61
brand_comment:kia,59
total:jazz,49
brand:jazz,49
brand_comment:jazz,46
total:porsche,46
brand_comment:porsche,45
total:altis,35
total:mercedes,35
brand_comment:mercedes,33
total:vezel,33
brand_comment:altis,32
total:accord,30
total:corolla,30
total:vios,29
brand_comment:corolla,28
brand_comment:vios,28
brand_comment:vezel,27
brand_comment:accord,26
total:hyundai,26
brand_comment:hyundai,24
total:civic,24
total:golf,24
total:audi,24
brand_comment:audi,23
brand_comment:golf,23
brand_comment:nissan,23
total:nissan,23
brand_comment:civic,22
total:subaru,22
brand_comment:subaru,19
total:attrage,19
brand_comment:attrage,18
total:a3,18
brand_comment:lexus,16
total:lexus,16
brand_comment:a3,15
total:camry,15
brand_comment:camry,14
total:lancer,12
brand_comment:lancer,11
total:volkswagen,11
total:freed,11
brand_comment:freed,10
brand_comment:volkswagen,10
brand_comment:volvo,10
total:volvo,10
total:perodua,7
brand_comment:bentley,6
total:mitsubishi,6
total:bentley,6
brand_comment:ferrari,5
brand_comment:mitsubishi,5
brand_comment:perodua,5
total:ferrari,5
brand_comment:a4,3
brand_comment:proton,3
total:proton,3
total:a4,3
brand_comment:chevrolet,2
brand_comment:jaguar,2
brand_comment:rolls,2
total:saga,2
total:mazda3,2
total:chevrolet,2
total:rolls,2
total:jaguar,2
brand_comment:cclass,1
brand_comment:cx5,1
brand_comment:land,1
brand_comment:maserati,1
brand_comment:mazda3,1
brand_comment:myvi,1
brand_comment:saga,1
total:maserati,1
total:cclass,1
total:cx5,1
total:myvi,1
total:land,1
total:alza,1
